CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
A3875,Tipiracil hydrochloride,183204-72-0,G02,L1021-03,279.12,H2O,C9H12Cl2N4O2,C1CC(=N)N(C1)CC2=C(C(=O)NC(=O)N2)Cl.Cl,insoluble in DMSO; insoluble in EtOH; ≥13.25 mg/mL in H2O,,Others,Thymidine phosphorylase,Thymidine phosphorylase inhibitor,https://www.apexbt.com/search.php?catalog=A3875
A3877,Tirofiban hydrochloride monohydrate,150915-40-5,G03,L1021-03,495.07,DMSO,C22H39ClN2O6S,O=C(O)[[C@@H](NS(=O)(CCCC)=O)CC1=CC=C(OCCCCC2CCNCC2)C=C1.Cl.O,≥24.75 mg/mL in DMSO; ≥105 mg/mL in EtOH with ultrasonic; ≥3.84 mg/mL in H2O with gentle warming and ultrasonic,Hydrochloride,Others,Glycoprotein,Glycoprotein IIb/IIIa inhibitor,https://www.apexbt.com/search.php?catalog=A3877
A3887,Trametinib DMSO solvate,1187431-43-1,G04,L1021-03,693.53,DMSO,C28H29FIN5O5S,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC(=CC=C4)NC(=O)C)C5CC5.CS(=O)C,insoluble in EtOH; insoluble in H2O; ≥11.2 mg/mL in DMSO with gentle warming and ultrasonic,,MAPK Signaling,MEK1/2,Allosteric MEK1/MEK2 kinase inhibitor,https://www.apexbt.com/search.php?catalog=A3887
A3888,Trelagliptin,865759-25-7,G05,L1021-03,357.38,DMSO,C18H20FN5O2,CN1C(=O)C=C(N(C1=O)CC2=C(C=CC(=C2)F)C#N)N3CCCC(C3)N,≥11.6 mg/mL in DMSO; ≥3.68 mg/mL in EtOH with gentle warming and ultrasonic; ≥93.8 mg/mL in H2O,Free Base,Proteases,DPP-4,"DPP-4 inhibitor,long-acting and selective",https://www.apexbt.com/search.php?catalog=A3888
A3891,Triptolide,38748-32-2,G06,L1021-03,360.41,DMSO,C20H24O6,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C,≥36 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,,Immunology/Inflammation,NF-_B,,https://www.apexbt.com/search.php?catalog=A3891
A3892,Triptonide,38647-11-9,G07,L1021-03,358.39,DMSO,C20H22O6,CC([[C@H]12[[C@@H](O2)[[C@H]3[[C@H@]4(O3)[[C@H]5(CCC6=C([[C@H]5([H])C[[C@H]7[[C@H@]4(O7)C1=O)COC6=O)C)C,insoluble in H2O; insoluble in EtOH; ≥16.35 mg/mL in DMSO ,,Others,dCTP Pyrophosphatase,,https://www.apexbt.com/search.php?catalog=A3892
A3893,Troglitazone,97322-87-7,G08,L1021-03,441.54,DMSO,C24H27NO5S,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,insoluble in H2O; ≥20.9 mg/mL in DMSO; ≥3.34 mg/mL in EtOH with gentle warming and ultrasonic,,Metabolism,PPAR,Selective PPAR_ agonist,https://www.apexbt.com/search.php?catalog=A3893
A3900,Umeclidinium bromide,869113-09-7,G09,L1021-03,508.49,DMSO,C29H34BrNO2,C1C[N+]2(CCC1(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCOCC5=CC=CC=C5.[Br-],insoluble in H2O; insoluble in EtOH; ≥61.5 mg/mL in DMSO,#N/A,Neuroscience,Muscarinic Receptor,MAChR antagonist,https://www.apexbt.com/search.php?catalog=A3900
A3919,Vilazodone Hydrochloride,163521-08-2,G10,L1021-03,477.99,DMSO,C26H28ClN5O2,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N.Cl,≥23.9 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Hydrochloride,Neuroscience,5-HT Receptor,Combined SSRI and 5-HT1A receptor partial agonist,https://www.apexbt.com/search.php?catalog=A3919
A3920,Vinblastine sulfate,143-67-9,G11,L1021-03,909.05,DMSO,C46H60N4O13S,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,≥28.85 mg/mL in DMSO; insoluble in EtOH; ≥48.2 mg/mL in H2O with ultrasonic,sulfate,Ubiquitination/Proteasome,Autophagy,Anti-mitotic agent,https://www.apexbt.com/search.php?catalog=A3920
A3921,Vinorelbine ditartrate,125317-39-7,H01,L1021-03,1079.11,DMSO,C53H66N4O20,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC.C(C(C(=O)O)O)(C(=O)O)O.C(C(C(=O)O)O)(C(=O)O)O,≥33.7 mg/mL in DMSO; ≥41.9 mg/mL in EtOH with ultrasonic; ≥43 mg/mL in H2O with ultrasonic,ditartrate,Others,Others,Anti-mitotic chemotherapy drug,https://www.apexbt.com/search.php?catalog=A3921
A3926,Vortioxetine,508233-74-7,H02,L1021-03,298.45,DMSO,C18H22N2S,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,insoluble in H2O; ≥14.92 mg/mL in DMSO; ≥4.31 mg/mL in EtOH with ultrasonic,,Neuroscience,5-HT Receptor,5-HT receptors antagonist,https://www.apexbt.com/search.php?catalog=A3926
A3952,Ziprasidone,146939-27-7,H03,L1021-03,412.94,DMSO,C21H21ClN4OS,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,≥20.65 mg/mL in DMSO with gentle warming; insoluble in H2O; insoluble in EtOH,Free Base,Neuroscience,5-HT Receptor,5-HT (serotonin)/dopamine receptor antagonist,https://www.apexbt.com/search.php?catalog=A3952
A3953,Ziprasidone hydrochloride monohydrate,138982-67-9,H04,L1021-03,467.41,DMSO,C21H24Cl2N4O2S,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,insoluble in H2O; insoluble in EtOH; ≥11.69 mg/mL in DMSO,Hydrochloride,Neuroscience,5-HT Receptor,5-HT (serotonin)/dopamine receptor antagonist,https://www.apexbt.com/search.php?catalog=A3953
A3966,Doxorubicin,23214-92-8,H05,L1021-03,543.52,DMSO,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,≥27.2 mg/mL in DMSO; insoluble in EtOH; ≥24.8 mg/mL in H2O with ultrasonic,Free Base,DNA Damage/DNA Repair,Topoisomerase,"Topo II inhibitor,immunosuppresive antineoplastic antibiotic",https://www.apexbt.com/search.php?catalog=A3966
A3967,Lapatinib Ditosylate,388082-77-7,H06,L1021-03,925.46,DMSO,C29H26ClFN4O4S 2C7H8O3S,O=S(CCNCC1=CC=C(C2=CC3=C(NC4=CC=C(OCC5=CC=CC(F)=C5)C(Cl)=C4)N=CN=C3C=C2)O1)(C)=O.O=S(C6=CC=C(C)C=C6)(O)=O.O=S(C7=CC=C(C)C=C7)(O)=O,≥24.3 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Ditosylate,JAK/STAT Signaling,EGFR,"EGFR/HER2 inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A3967
A4007,MLN9708,1201902-80-8,H07,L1021-03,517.1,DMSO,C20H23BCl2N2O9,B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,insoluble in H2O; ≥20.85 mg/mL in DMSO; ≥4.56 mg/mL in EtOH with gentle warming and ultrasonic,,Ubiquitination/Proteasome,Proteasome,Proteasome inhibitor,https://www.apexbt.com/search.php?catalog=A4007
A4008,MLN2238,1072833-77-2,H08,L1021-03,361,DMSO,C14H19BCl2N2O4,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,insoluble in H2O; ≥103 mg/mL in EtOH with ultrasonic; ≥16.8 mg/mL in DMSO,Free Base,Ubiquitination/Proteasome,Proteasome,_5 site of the 20S proteasome inhibitor,https://www.apexbt.com/search.php?catalog=A4008
A4009,CEP-18770,847499-27-8,H09,L1021-03,413.3,DMSO,C21H28BN3O5,B(C(CC(C)C)NC(=O)C(C(C)O)NC(=O)C1=CC=CC(=N1)C2=CC=CC=C2)(O)O,insoluble in H2O; ≥16.75 mg/mL in DMSO; ≥32.27 mg/mL in EtOH with ultrasonic,Free Base,Ubiquitination/Proteasome,Proteasome,Proteasome inhibitor,https://www.apexbt.com/search.php?catalog=A4009
A4012,Gabexate mesylate,56974-61-9,H10,L1021-03,417.48,DMSO,C16H23N3O4·CH4O3S,CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N.CS(=O)(=O)O,≥102.4 mg/mL in H2O; ≥18.2 mg/mL in DMSO; ≥99.8 mg/mL in EtOH,Mesylate,Proteases,Serine Protease,Trypsin-like serine proteinases inhibitor,https://www.apexbt.com/search.php?catalog=A4012
A4013,Aspirin (Acetylsalicylic acid),50-78-2,H11,L1021-03,180.16,DMSO,C9H8O4,CC(=O)OC1=CC=CC=C1C(=O)O,insoluble in H2O; ≥104.2 mg/mL in EtOH with ultrasonic; ≥8.55 mg/mL in DMSO,Free Base,Neuroscience,COX,Cyclooxygenase (COX) inhibitor,https://www.apexbt.com/search.php?catalog=A4013
A4014,Artemether (SM-224),71963-77-4,A01,L1021-04,298.4,DMSO,C16H26O5,[H][[C@H]12[[C@H@]3([[C@H@]4([H])CC[[C@H@]2([H])C)[[C@H@](O[[C@H](OC)[[C@H@]4(C)[H])([H])O[[C@H@](OO3)(C)CC1,insoluble in H2O; ≥15.3 mg/mL in DMSO; ≥90.2 mg/mL in EtOH,,Ubiquitination/Proteasome,Proteasome,,https://www.apexbt.com/search.php?catalog=A4014
A4015,Disulfiram,97-77-8,A02,L1021-04,296.54,DMSO,C10H20N2S4,CCN(CC)C(=S)SSC(=S)N(CC)CC,insoluble in H2O; ≥12 mg/mL in DMSO; ≥24.2 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,Dopamine _-hydroxylase,Dopamine _-hydroxylase inhibitor,https://www.apexbt.com/search.php?catalog=A4015
A4022,BMS-708163 (Avagacestat),1146699-66-2,A03,L1021-04,520.88,DMSO,C20H17ClF4N4O4S,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl,insoluble in H2O; ≥177.6 mg/mL in DMSO; ≥47.6 mg/mL in EtOH with ultrasonic,,Proteases,Gamma Secretase,_-secretase inhibitor,https://www.apexbt.com/search.php?catalog=A4022
A4024,Danoprevir (RG7227),850876-88-9,A04,L1021-04,731.83,DMSO,C35H46FN5O9S,FC1=CC=CC2=C1CN(C2)C(O[[C@@H]3C[[C@H](C(N[[C@H@]4(C(NS(=O)(C5CC5)=O)=O)[[C@H@](/C=C\CCCCC[[C@@H]6N([H])C(OC(C)(C)C)=O)([H])C4)=O)([H])N(C6=O)C3)=O,≥32.6 mg/mL in DMSO; insoluble in H2O; ≥46.4 mg/mL in EtOH with ultrasonic,,Proteases,HCV Protease,,https://www.apexbt.com/search.php?catalog=A4024
A4031,Telaprevir (VX-950),402957-28-2,A05,L1021-04,679.9,DMSO,C36H53N7O6,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5,≥32.95 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Proteases,HCV Protease,HCV NS3-4A protease inhibitor,https://www.apexbt.com/search.php?catalog=A4031
A4032,"VX-222 (VCH-222, Lomibuvir)",1026785-59-0,A06,L1021-04,445.6,DMSO,C25H35NO4S,CC1CCC(CC1)C(=O)N(C2CCC(CC2)O)C3=C(SC(=C3)C#CC(C)(C)C)C(=O)O,≥44.6 mg/mL in DMSO; insoluble in H2O; ≥97.2 mg/mL in EtOH,,Proteases,HCV Protease,NNI of HCV RNA polymerase,https://www.apexbt.com/search.php?catalog=A4032
A4033,Glimepiride,93479-97-1,A07,L1021-04,490.62,DMSO,C24H34N4O5S,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,≥21.45 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Proteases,DPP-4,Sulfonylurea compound,https://www.apexbt.com/search.php?catalog=A4033
A4034,Linagliptin (BI-1356),668270-12-0,A08,L1021-04,472.5,DMSO,C25H28N8O2,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,insoluble in H2O; insoluble in EtOH; ≥17.85 mg/mL in DMSO,Free Base,Proteases,DPP-4,"DDP-4 inhibitor,highly potent and competitive",https://www.apexbt.com/search.php?catalog=A4034
A4036,Sitagliptin phosphate monohydrate,654671-77-9,A09,L1021-04,523.3,DMSO,C16H15F6N5O·H3PO4·H2O,[HH].C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N.O.OOP(=O)=O,≥23.8 mg/mL in DMSO; insoluble in EtOH; ≥30.6 mg/mL in H2O with ultrasonic,phosphate,Proteases,DPP-4,Potent DPP-4 inhibitor,https://www.apexbt.com/search.php?catalog=A4036
A4037,Vildagliptin (LAF-237),274901-16-5,A10,L1021-04,303.4,DMSO,C17H25N3O2,O[[C@H@]1(C[[C@H]2(NCC(N3[[C@H](C#N)CCC3)=O)C4)C[[C@H](C2)C[[C@H]4C1,≥12.05 mg/mL in DMSO; ≥96.4 mg/mL in EtOH with ultrasonic; ≥96.8 mg/mL in H2O with ultrasonic,Free Base,Proteases,DPP-4,DPP-4 inhibitor,https://www.apexbt.com/search.php?catalog=A4037
A4038,Alogliptin (SYR-322),850649-61-5,A11,L1021-04,339.39,DMSO,C18H21N5O2,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,insoluble in H2O; ≥100 mg/mL in EtOH with ultrasonic; ≥14.75 mg/mL in DMSO,Free Base,Proteases,DPP-4,"DPP-4 inhibitor,potent and highly selective",https://www.apexbt.com/search.php?catalog=A4038
A4040,Atazanavir sulfate (BMS-232632-05),229975-97-7,B01,L1021-04,802.9,DMSO,C38H52N6O7·H2SO4,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O,≥28.7 mg/mL in DMSO with gentle warming; insoluble in H2O; ≥4.05 mg/mL in EtOH with gentle warming and ultrasonic,Sulfate,Proteases,HIV Protease,Protease inhibitor,https://www.apexbt.com/search.php?catalog=A4040
A4049,Marimastat,154039-60-8,B02,L1021-04,331.41,DMSO,C15H29N3O5,CC(C)CC(C(C(=O)NO)O)C(=O)NC(C(=O)NC)C(C)(C)C,≥2.8 mg/mL in H2O with gentle warming and ultrasonic; ≥20.43 mg/mL in EtOH; ≥80.1 mg/mL in DMSO,Free Base,Proteases,MMP,"MMPs inhibitor,board spectrum",https://www.apexbt.com/search.php?catalog=A4049
A4050,GM 6001,142880-36-2,B03,L1021-04,388.46,DMSO,C20H28N4O4,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC,insoluble in H2O; insoluble in EtOH; ≥19.42 mg/mL in DMSO,Free Base,Proteases,MMP,Broad spectrum MMP inhibitor,https://www.apexbt.com/search.php?catalog=A4050
A4052,Doxycycline hyclate,24390-14-5,B04,L1021-04,512.94,DMSO,C23H29ClN2O9,O=C(N)C(C1=O)=C([[C@H]([[C@H@]2([[C@H]([[C@H@]3([[C@H](C4=C(C(O)=CC=C4)C(C3=C([[C@H@]21O)O)=O)C)[H])O)[H])N(C)C)O.Cl.[0.5H2O].[0.5C2H6O],≥22.15 mg/mL in DMSO; insoluble in EtOH; ≥49.2 mg/mL in H2O with ultrasonic,Hydrochloride,Others,Others,MMP inhibitor,https://www.apexbt.com/search.php?catalog=A4052
A4054,17-AAG (KOS953),75747-14-7,B05,L1021-04,585.7,DMSO,C31H43N3O8,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,≥24.95 mg/mL in DMSO; insoluble in H2O; ≥9.56 mg/mL in EtOH with ultrasonic,Free Base,Proteases,HSP,Hsp90 inhibitor,https://www.apexbt.com/search.php?catalog=A4054
A4056,AT13387,912999-49-6,B06,L1021-04,409.5,DMSO,C24H31N3O3,CC(C)C1=C(C=C(C(=C1)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C)O)O,insoluble in H2O; ≥13.25 mg/mL in DMSO; ≥47.7 mg/mL in EtOH with ultrasonic,Free Base,Proteases,HSP,Hsp90 inhibitor,https://www.apexbt.com/search.php?catalog=A4056
A4070,Elvitegravir (GS-9137),697761-98-1,B07,L1021-04,447.9,DMSO,C23H23ClFNO5,CC(C)C(CO)N1C=C(C(=O)C2=CC(=C(C=C21)OC)CC3=C(C(=CC=C3)Cl)F)C(=O)O,insoluble in H2O; insoluble in EtOH; ≥20.35 mg/mL in DMSO,Free Base,Proteases,HIV Integrase,"HIV-1 integrase inhibitor,potent",https://www.apexbt.com/search.php?catalog=A4070
A4071,Fluorouracil (Adrucil),51-21-8,B08,L1021-04,130.1,DMSO,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,insoluble in EtOH; ≥10.04 mg/mL in H2O with gentle warming and ultrasonic; ≥13.04 mg/mL in DMSO,Free Base,Proteases,HIV Integrase,Antitumor agent;inhibitor of thymidylate synthase,https://www.apexbt.com/search.php?catalog=A4071
A4073,Raltegravir (MK-0518),518048-05-0,B09,L1021-04,444.4,DMSO,C20H21FN6O5,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,insoluble in EtOH; insoluble in H2O; ≥19.95 mg/mL in DMSO ,Free Base,Proteases,HIV Integrase,HIV-1 integrase inhibitor,https://www.apexbt.com/search.php?catalog=A4073
A4074,S/GSK1349572,1051375-16-6,B10,L1021-04,419.4,DMSO,C20H19F2N3O5,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,≥41.9 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Proteases,HIV Integrase,"HIV integrase inhibitor, novel and potent",https://www.apexbt.com/search.php?catalog=A4074
A4078,Captopril,62571-86-2,B11,L1021-04,217.29,DMSO,C9H15NO3S,OC(C1CCCN1C(C(CS)C)=O)=O,≥21.7 mg/mL in DMSO; ≥105.2 mg/mL in EtOH with ultrasonic; ≥48.6 mg/mL in H2O with ultrasonic,,Endocrinology and Hormones,RAAS,,https://www.apexbt.com/search.php?catalog=A4078
A4080,Moxonidine,75438-57-2,C01,L1021-04,241.68,DMSO,C9H12ClN5O,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,insoluble in H2O; ≥11.3 mg/mL in DMSO; ≥4.74 mg/mL in EtOH with ultrasonic,Free Base,Others,Imidazoline Receptors,I1R/_2AR agonist,https://www.apexbt.com/search.php?catalog=A4080
A4082,Olmesartan medoxomil,144689-63-4,C02,L1021-04,558.6,DMSO,C29H30N6O6,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O,≥21.1 mg/mL in DMSO; insoluble in H2O; ≥4.6 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Proteases,ACE,AT1 receptor antagonist,https://www.apexbt.com/search.php?catalog=A4082
A4083,Rocilinostat (ACY-1215),1316214-52-4,C03,L1021-04,433.5,DMSO,C24H27N5O3,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO,≥21.675 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,HDAC,Selective HDAC6 inhibitor,https://www.apexbt.com/search.php?catalog=A4083
A4084,"Vorinostat (SAHA, MK0683)",149647-78-9,C04,L1021-04,264.3,DMSO,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,insoluble in EtOH; insoluble in H2O; ≥4.41 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,HDAC,HDAC inhibitor,https://www.apexbt.com/search.php?catalog=A4084
A4089,"Mocetinostat (MGCD0103, MG0103)",726169-73-9,C05,L1021-04,396.44,DMSO,C23H20N6O,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,insoluble in EtOH; insoluble in H2O; ≥19.8 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,HDAC,"HDAC inhibitor,isotype-selective and potent",https://www.apexbt.com/search.php?catalog=A4089
A4092,CUDC-101,1012054-59-9,C06,L1021-04,434.49,DMSO,C24H26N4O4,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,≥21.7 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,DNA Damage/DNA Repair,HDAC,Multitargeted HDAC inhibitor,https://www.apexbt.com/search.php?catalog=A4092
A4095,Pracinostat (SB939),929016-96-6,C07,L1021-04,358.48,DMSO,C20H30N4O2,ONC(/C=C/C1=CC=C2N(CCN(CC)CC)C(CCCC)=NC2=C1)=O,insoluble in H2O; ≥11.4 mg/mL in DMSO; ≥24.8 mg/mL in EtOH with ultrasonic,Free Base,DNA Damage/DNA Repair,HDAC,Pan-HDAC inhibitor,https://www.apexbt.com/search.php?catalog=A4095
A4096,Belinostat (PXD101),414864-00-9,C08,L1021-04,318.35,DMSO,C15H14N2O4S,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,insoluble in H2O; ≥15.92 mg/mL in DMSO; ≥44.1 mg/mL in EtOH with ultrasonic,Free Base,DNA Damage/DNA Repair,HDAC,Hydroxamate-type HDAC inhibitor,https://www.apexbt.com/search.php?catalog=A4096
A4098,PCI-24781 (CRA-024781),783355-60-2,C09,L1021-04,397.42,DMSO,C21H23N3O5,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,insoluble in H2O; insoluble in EtOH; ≥11.75 mg/mL in DMSO with gentle warming,Free Base,DNA Damage/DNA Repair,HDAC,Pan-HDAC inhibitor,https://www.apexbt.com/search.php?catalog=A4098
A4099,Valproic acid sodium salt (Sodium valproate),1069-66-5,C10,L1021-04,166.19,DMSO,C8H15NaO2,CCCC(CCC)C(=O)[O-].[Na+],≥8.35 mg/mL in DMSO; ≥88.2 mg/mL in H2O; ≥90.2 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,HDAC,HDAC inhibitor,https://www.apexbt.com/search.php?catalog=A4099
A4107,Sodium Phenylbutyrate,1716-12-7,C11,L1021-04,186.18,DMSO,C10H11O2·Na,C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],≥27.65 mg/mL in H2O; ≥50.9 mg/mL in EtOH with ultrasonic; ≥6.3 mg/mL in DMSO,Sodium,DNA Damage/DNA Repair,HDAC,Histone deacetylase inhibitor,https://www.apexbt.com/search.php?catalog=A4107
A4110,MLN8237 (Alisertib),1028486-01-2,D01,L1021-04,518.92,DMSO,C27H20ClFN4O4,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,≥25.95 mg/mL in DMSO; insoluble in H2O; insoluble in ETOH,Free Base,Chromatin/Epigenetics,Aurora Kinase,"Aurora A Kinase inhibitor, Potent and selective",https://www.apexbt.com/search.php?catalog=A4110
A4111,"VX-680 (MK-0457,Tozasertib)",639089-54-6,D02,L1021-04,464.59,DMSO,C23H28N8OS,CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)SC4=CC=C(C=C4)NC(=O)C5CC5,≥23.25 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Chromatin/Epigenetics,Aurora Kinase,Aurora kinase inhibitor,https://www.apexbt.com/search.php?catalog=A4111
A4112,Barasertib (AZD1152-HQPA),722544-51-6,D03,L1021-04,507.56,DMSO,C26H30FN7O3,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,≥25.4 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Chromatin/Epigenetics,Aurora Kinase,"Aurora Kinase B inhibitor, Potent and selective",https://www.apexbt.com/search.php?catalog=A4112
A4135,Tofacitinib (CP-690550) Citrate,540737-29-9,D04,L1021-04,504.49,DMSO,C16H20N6O·C6H8O7,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,≥25.22 mg/mL in DMSO; insoluble in EtOH; ≥3.4 mg/mL in H2O with gentle warming and ultrasonic,Citrate,Chromatin/Epigenetics,JAK,Potent JAK inhibitor,https://www.apexbt.com/search.php?catalog=A4135
A4136,TG101348 (SAR302503),936091-26-8,D05,L1021-04,524.68,DMSO,C27H36N6O3S,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,≥26.23 mg/mL in DMSO; insoluble in H2O; ≥6.69 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Chromatin/Epigenetics,JAK,"JAK-2 inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A4136
A4138,"Tofacitinib (CP-690550,Tasocitinib)",477600-75-2,D06,L1021-04,312.37,DMSO,C16H20N6O,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,insoluble in EtOH; insoluble in H2O; ≥15.6 mg/mL in DMSO,Free Base,Chromatin/Epigenetics,JAK,Janus kinase inhibitor,https://www.apexbt.com/search.php?catalog=A4138
A4141,"Baricitinib (LY3009104, INCB028050)",1187594-09-7,D07,L1021-04,371.42,DMSO,C16H17N7O2S,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,insoluble in EtOH; insoluble in H2O; ≥18.57 mg/mL in DMSO,,Chromatin/Epigenetics,JAK,"JAK1/JAK2 inhibitor,selective orally bioavailable",https://www.apexbt.com/search.php?catalog=A4141
A4147,LY2784544,1229236-86-5,D08,L1021-04,469.94,DMSO,C23H25ClFN7O,CC1=CC(=NN1)NC2=NN3C(=C(N=C3C(=C2)CN4CCOCC4)C)CC5=C(C=C(C=C5)Cl)F,≥23.5 mg/mL in DMSO; insoluble in H2O; ≥5.65 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Chromatin/Epigenetics,JAK,"JAK2 inhibitor,highly potent and selective",https://www.apexbt.com/search.php?catalog=A4147
